Code;Row;Colom;Type;Replicate;Tea;Start_weight;End_weight
4AxSbg;4;A;littoral;b;green;2.0592;1.4866
4AxSbr;4;A;littoral;b;rooibos;2.2036;1.9625
4AxScg;4;A;littoral;c;green;2.0599;1.7438
4AxScr;4;A;littoral;c;rooibos;2.2657;1.9938
4AxIag;4;A;sediment;a;green;2.0042;1.5194
4AxIar;4;A;sediment;a;rooibos;2.2304;2.0066
4AxIbg;4;A;sediment;b;green;2.1081;1.5732
4AxIbr;4;A;sediment;b;rooibos;2.1221;1.9598
4AxIcg;4;A;sediment;c;green;2.0657;1.6095
4AxIcr;4;A;sediment;c;rooibos;2.2421;2.0314
4BxWag;4;B;pelagic;a;green;2.1649;1.5951
4BxWar;4;B;pelagic;a;rooibos;2.248;2.0004
4BxWbg;4;B;pelagic;b;green;2.0866;1.4336
4BxWbr;4;B;pelagic;b;rooibos;2.2438;1.9824
4BxWcg;4;B;pelagic;c;green;2.1341;1.5359
4BxWcr;4;B;pelagic;c;rooibos;2.2403;1.971
4BxSag;4;B;littoral;a;green;2.0787;1.5628
4BxSar;4;B;littoral;a;rooibos;2.2664;1.9871
4BxSbg;4;B;littoral;b;green;2.1359;1.6965
4BxSbr;4;B;littoral;b;rooibos;2.173;1.9798
4BxScg;4;B;littoral;c;green;2.0547;1.4854
4BxScr;4;B;littoral;c;rooibos;2.2229;1.9807
4BxIag;4;B;sediment;a;green;2.1932;1.7452
4BxIar;4;B;sediment;a;rooibos;2.2755;2.0559
4BxIbg;4;B;sediment;b;green;2.0459;1.6676
4BxIbr;4;B;sediment;b;rooibos;2.1875;2.0061
4BxIcg;4;B;sediment;c;green;2.1625;1.8098
4BxIcr;4;B;sediment;c;rooibos;2.2275;2.0387
4CxWag;4;C;pelagic;a;green;2.1195;1.5317
4CxWar;4;C;pelagic;a;rooibos;2.2349;1.9951
4CxWbg;4;C;pelagic;b;green;1.9587;1.4442
4CxWbr;4;C;pelagic;b;rooibos;2.2537;2.0105
4CxWcg;4;C;pelagic;c;green;1.9021;1.418
