Sample ID;Location;lake;type;Treatment;Year;Replicate;Initial weight green;Initial weight red tea ;FiNAl weight green tea;FiNAl weight red tea;incubation time;;;;;;;;;;;;;;;;;
82;B Ekeren;Ekeren;pelagic;water 12 meter;2016;3;2.31;2.25;0.54;1.72;91.00;;;;;;;;;;;;;;;;;
83;B Ekeren;Ekeren;pelagic;water 15 meter;2016;1;2.23;2.21;0.53;1.69;91.00;;;;;;;;;;;;;;;;;
84;B Ekeren;Ekeren;pelagic;water 15 meter;2016;2;2.21;2.18;0.51;1.68;91.00;;;;;;;;;;;;;;;;;
85;B Ekeren;Ekeren;pelagic;water 15 meter;2016;3;2.23;2.21;0.60;1.73;91.00;;;;;;;;;;;;;;;;;
86;NL Haarlemmermeer O;Haarlemmermeer;sediment;in sediment;2016;1;1.90;2.00;0.70;1.30;98.00;;;;;;;;;;;;;;;;;
87;NL Haarlemmermeer O;Haarlemmermeer;sediment;in sediment;2016;2;1.80;2.10;0.30;1.20;98.00;;;;;;;;;;;;;;;;;
88;NL Haarlemmermeer O;Haarlemmermeer;sediment;in sediment;2016;3;1.70;2.00;0.30;1.30;98.00;;;;;;;;;;;;;;;;;
89;NL Haarlemmermeer O;Haarlemmermeer;littoral;on top of sediment;2016;1;1.80;2.10;0.30;0.60;98.00;;;;;;;;;;;;;;;;;
90;NL Haarlemmermeer O;Haarlemmermeer;littoral;on top of sediment;2016;2;1.90;2.10;0.20;0.80;98.00;;;;;;;;;;;;;;;;;
91;NL Haarlemmermeer O;Haarlemmermeer;littoral;on top of sediment;2016;3;1.90;2.10;NA;NA;98.00;;;;;;;;;;;;;;;;;
92;NL Haarlemmermeer O;Haarlemmermeer;pelagic;water column;2016;1;1.90;2.00;0.30;0.90;98.00;;;;;;;;;;;;;;;;;
93;NL Haarlemmermeer O;Haarlemmermeer;pelagic;water column;2016;2;2.00;2.10;0.30;0.80;98.00;;;;;;;;;;;;;;;;;
94;NL Haarlemmermeer O;Haarlemmermeer;pelagic;water column;2016;3;1.90;2.10;0.20;0.70;98.00;;;;;;;;;;;;;;;;;
95;IT Tovel 1 meter;Tovel;pelagic;water column;2016;1;2.06;2.23;0.65;1.65;92.00;;;;;;;;;;;;;;;;;
96;IT Tovel 1 meter;Tovel;pelagic;water column;2016;2;2.06;2.23;0.64;1.61;92.00;;;;;;;;;;;;;;;;;
97;IT Tovel 1 meter;Tovel;pelagic;water column;2016;3;2.06;2.23;0.63;1.67;92.00;;;;;;;;;;;;;;;;;
98;IT Tovel 1 meter;Tovel;pelagic;water column;2016;4;2.06;2.23;0.69;1.65;92.00;;;;;;;;;;;;;;;;;
99;IT Tovel 1 meter;Tovel;pelagic;water column;2016;5;2.06;2.23;0.61;1.58;92.00;;;;;;;;;;;;;;;;;
100;IT Tovel 4 meter;Tovel;littoral;on top of sediment;2016;1;2.06;2.23;0.88;1.81;92.00;;;;;;;;;;;;;;;;;
101;IT Tovel 4 meter;Tovel;littoral;on top of sediment;2016;2;2.06;2.23;0.81;1.87;92.00;;;;;;;;;;;;;;;;;
102;IT Tovel 4 meter;Tovel;littoral;on top of sediment;2016;3;2.06;2.23;0.86;1.78;92.00;;;;;;;;;;;;;;;;;
103;IT Tovel 4 meter;Tovel;sediment;in sediment;2016;1;2.06;2.23;0.86;1.87;92.00;;;;;;;;;;;;;;;;;
104;IT Tovel 4 meter;Tovel;sediment;in sediment;2016;2;2.06;2.23;0.91;1.83;92.00;;;;;;;;;;;;;;;;;
105;IT Tovel 4 meter;Tovel;sediment;in sediment;2016;3;2.06;2.23;0.81;;92.00;;;;;;;;;;;;;;;;;
106;IT Campo;Campo;pelagic;water column;2016;1;2.18;2.24;0.63;1.80;90.00;;;;;;;;;;;;;;;;;
107;IT Campo;Campo;pelagic;water column;2016;2;2.07;2.24;0.64;1.90;90.00;;;;;;;;;;;;;;;;;
108;IT Campo;Campo;pelagic;water column;2016;3;2.01;2.27;0.64;1.85;90.00;;;;;;;;;;;;;;;;;
109;IT Campo;Campo;pelagic;on top of sediment;2016;1;2.18;2.25;0.95;1.89;90.00;;;;;;;;;;;;;;;;;
110;IT Campo;Campo;pelagic;on top of sediment;2016;2;2.08;2.28;1.00;1.92;90.00;;;;;;;;;;;;;;;;;
111;IT Campo;Campo;pelagic;on top of sediment;2016;3;2.10;2.30;0.96;1.99;90.00;;;;;;;;;;;;;;;;;
112;IT Roncone 1m;Roncone;pelagic;water column;2016;1;2.04;2.19;NA;NA;90.00;;;;;;;;;;;;;;;;;
113;IT Roncone 1m;Roncone;pelagic;water column;2016;2;2.05;2.29;NA;NA;90.00;;;;;;;;;;;;;;;;;
114;IT Roncone 1m;Roncone;pelagic;water column;2016;3;2.02;2.30;NA;NA;90.00;;;;;;;;;;;;;;;;;
115;IT Roncone 3,5m;Roncone;pelagic;water column;2016;1;2.07;2.14;0.78;1.72;90.00;;;;;;;;;;;;;;;;;
116;IT Roncone 3,5m;Roncone;pelagic;water column;2016;2;2.03;2.27;0.67;1.76;90.00;;;;;;;;;;;;;;;;;
117;IT Roncone 3,5m;Roncone;pelagic;water column;2016;3;1.98;2.20;0.71;1.68;90.00;;;;;;;;;;;;;;;;;
118;IT Roncone ;Roncone;littoral;on top of sediment;2016;1;2.18;2.25;0.46;1.46;90.00;;;;;;;;;;;;;;;;;
119;IT Roncone ;Roncone;littoral;on top of sediment;2016;2;2.10;2.26;0.48;1.45;90.00;;;;;;;;;;;;;;;;;
120;IT Roncone ;Roncone;littoral;on top of sediment;2016;3;2.06;2.28;0.47;1.42;90.00;;;;;;;;;;;;;;;;;
121;IT S. Giustina;S.Giustina;pelagic;water column;2016;1;2.11;2.23;0.78;1.71;70.00;;;;;;;;;;;;;;;;;
122;IT S. Giustina;S.Giustina;pelagic;water column;2016;2;2.09;2.26;0.72;1.71;70.00;;;;;;;;;;;;;;;;;
123;IT S. Giustina;S.Giustina;pelagic;water column;2016;3;2.06;2.24;0.73;1.69;70.00;;;;;;;;;;;;;;;;;
124;IT S. Giustina;S.Giustina;pelagic;water column;2016;4;2.11;2.29;0.77;1.76;70.00;;;;;;;;;;;;;;;;;
125;IT S. Giustina;S.Giustina;pelagic;water column;2016;5;2.08;2.28;0.66;1.69;70.00;;;;;;;;;;;;;;;;;
126;IT Corvo;Corvo;littoral;on top of sediment;2016;1;2.05;2.23;0.64;1.86;85.00;;;;;;;;;;;;;;;;;
127;IT Corvo;Corvo;littoral;on top of sediment;2016;2;1.96;2.24;0.65;1.79;85.00;;;;;;;;;;;;;;;;;
128;IT Corvo;Corvo;littoral;on top of sediment;2016;3;2.16;2.22;0.74;1.79;85.00;;;;;;;;;;;;;;;;;
129;IT Malghette;Malghette;littoral;water column;2016;1;2.07;2.23;0.53;1.75;92.00;;;;;;;;;;;;;;;;;
130;IT Malghette;Malghette;littoral;water column;2016;2;1.95;2.22;0.58;1.70;92.00;;;;;;;;;;;;;;;;;
131;IT Malghette;Malghette;littoral;water column;2016;3;2.07;2.29;0.62;1.69;92.00;;;;;;;;;;;;;;;;;
132;IT Mezzana;Mezzana;pelagic;water column;2016;1;2.15;2.24;0.61;1.72;85.00;;;;;;;;;;;;;;;;;
133;IT Mezzana;Mezzana;pelagic;water column;2016;2;2.01;2.26;0.58;1.73;85.00;;;;;;;;;;;;;;;;;
134;IT Mezzana;Mezzana;pelagic;water column;2016;3;2.10;2.17;0.62;1.67;85.00;;;;;;;;;;;;;;;;;
135;IT Lases;Lases;pelagic;water 5 meter;2016;1;2.08;2.18;0.47;1.56;154.00;;;;;;;;;;;;;;;;;
136;IT Lases;Lases;pelagic;water 5 meter;2016;2;2.09;2.24;0.43;1.54;154.00;;;;;;;;;;;;;;;;;
137;IT Lases;Lases;pelagic;water 5 meter;2016;3;2.04;2.24;0.42;1.51;154.00;;;;;;;;;;;;;;;;;
138;IT Lases;Lases;pelagic;water 10 meter;2016;1;2.10;2.28;0.51;1.70;154.00;;;;;;;;;;;;;;;;;
